TYPEID;GROUPID;TYPENAME
672;31;Caldari Shuttle
11129;31;Gallente Shuttle
11132;31;Minmatar Shuttle
11134;31;Amarr Shuttle
21097;31;Goru's Shuttle
21628;31;Guristas Shuttle
27299;31;Civilian Amarr Shuttle
27301;31;Civilian Caldari Shuttle
27303;31;Civilian Gallente Shuttle
27305;31;Civilian Minmatar Shuttle
29266;31;Apotheosis
29328;31;Amarr Media Shuttle
29330;31;Caldari Media Shuttle
29332;31;Gallente Media Shuttle
29334;31;Minmatar Media Shuttle
30842;31;InterBus Shuttle
33513;31;Leopard
34496;31;Council Diplomatic Shuttle
582;25;Bantam
583;25;Condor
584;25;Griffin
585;25;Slasher
586;25;Probe
587;25;Rifter
589;25;Executioner
590;25;Inquisitor
591;25;Tormentor
592;25;Navitas
593;25;Tristan
594;25;Incursus
595;25;Gallente Police Ship
597;25;Punisher
598;25;Breacher
599;25;Burst
600;25;Minmatar Peacekeeper Ship
602;25;Kestrel
603;25;Merlin
605;25;Heron
607;25;Imicus
608;25;Atron
609;25;Maulus
613;25;Devourer
614;25;Fury
616;25;Medusa
618;25;Lynx
619;25;Swordspine
1896;25;Concord Police Frigate
1898;25;Concord SWAT Frigate
1900;25;Concord Army Frigate
1902;25;Concord Special Ops Frigate
2161;25;Crucifier
3532;25;Echelon
3751;25;SOCT 1
3753;25;SOCT 2
3766;25;Vigil
3768;25;Amarr Police Frigate
11019;25;Cockroach
11940;25;Gold Magnate
11942;25;Silver Magnate
17360;25;Immovable Enigma
17619;25;Caldari Navy Hookbill
17703;25;Imperial Navy Slicer
17705;25;Khanid Navy Frigate
17707;25;Mordus Frigate
17812;25;Republic Fleet Firetail
17841;25;Federation Navy Comet
17924;25;Succubus
17926;25;Cruor
17928;25;Daredevil
17930;25;Worm
17932;25;Dramiel
29248;25;Magnate
32880;25;Venture
32983;25;Sukuuvestaa Heron
32985;25;Inner Zone Shipping Imicus
32987;25;Sarum Magnate
32989;25;Vherokior Probe
33190;25;Tash-Murkon Magnate
33468;25;Astero
33655;25;Punisher Kador Edition
33657;25;Punisher Tash-Murkon Edition
33659;25;Merlin Nugoeihuvi Edition
33661;25;Merlin Wiyrkomi Edition
33663;25;Rifter Nefantar Edition
33665;25;Rifter Krusual Edition
33667;25;Incursus Aliastra Edition
33669;25;Incursus Inner Zone Shipping Edition
33677;25;Police Pursuit Comet
33816;25;Garmur
34443;25;Tristan Quafe Edition
37453;25;Crucifier Navy Issue
37454;25;Vigil Fleet Issue
